공원명,키워드,키워드 (영문),평점,평점투표수,내부시설,비고
금남로,"도심, 공원, 공연, 축제, 담배","citycentre, performance, festival, tobacco",3.8,209,"화장실, 야외무대",
월곡,"운동, 테니스장, 산책","workout, tenniscourts, strolling",4,74,"테니스장, 농구장",
응암,"운동, 산책, 도서관, 화장실","workout, strolling, library, washroom, workout, strolling, library, washroom",4.3,127,"첨단도서관, 축구장, 족구장, 놀이터,",
운남,"운동, 산책, 자전거","workout, strolling, bike",4.2,122,"운동장, 미술관, 농구장, 노인복지관",
수완호수,"산책, 공연, 운동, 분수, 아울렛, 걷기, 문화","strolling, performance, exercise, fountain, outlet, walk, culture",4.1,418,"야외무대, 희망우체통, 농구장,",
광주,"포장마차, 산책, 도심, 역사, 화장실, 신사, 현금, 개","pojangmacha, strolling, city centre, history, washroom, shinto shrine, cash, dog",4.1,346,"현충탑, 추모비, 위패봉안소, 문화원, 도서관, 시민문화관, 석탑, 화장실, 놀이터, 주차장",
물빛,"산책, 운동, 호수, 걷기, 자연, 생태계, 데이트, 곤충, 건강, 나무","strolling, exercise, lake, walk, nature, ecosystem, dating, bugs, health, trees",4.4,296,"호수, 도서관, 놀이터, 화장실 ",
유안,"산책, 운동, 도심, 농구, 걷기","strolling, workout, citycentre, basketball, walk",4.2,172,"농구장, 배드민턴장, 주차장",
사직,"야경, 도심, 공기, 기억, 망원경, 데이트, 운동, 엘리베이터, 모기, 과거","nightscape, citycentre, air, memories, telescope, dating, workout, elevator, mosquitoes, past",4.3,750,"전망타워, 미술관, 기념관, 문화관, 충혼탑, 체력단련시설, 배드민턴장, 주차장 ",
중외,"산책, 운동, 미술관, 벚꽃, 도심, 비엔날레, 봄, 문화, 가을","strolling, workout, artgalleries, cherryblossom, citycentre, biennale, spring, culture, fall",4.5,640,"놀이동산, 야외공연장, 미술관, 박물관, 습지, 팔각정, 탑, 동상, 운동장 ",
일곡제1,"운동, 산책, 축구장, 자전거, 가족, 도서관","workout, strolling, footballground, bike, family, library",4.2,251,"축구장, 도서관, 화장실, 주차장",
우산,"운동, 산책","workout, strolling",3.9,207,쉼터,
전평제,"산책, 카페, 연꽃, 식당, 운동, 걷기, 가족, 도심, 여름, 저수지","strolling, café, lotus, restaurant, workout, walking, family, citycentre, summer, reservoir",4.2,328,"저수지, 카페",
5.18기념,"산책, 개, 도심, 운동, 역사, 걷기, 민주주의, 시민, 잔디, 배드민턴","strolling, dog, citycentre, workout, history, walk, democracy, citizenship, lawn, badminton",4.4,574,"기념관, 기념탑",
풍암,"운동, 장미, 산책로, 도심, 저수지, 공연, 벚꽃, 도서관, 야경, 둘레길","exercise, roses, citycentre, reservoir, performance, cherryblossom, library, nightscape, windingpath",4.4,1734,"생태연못, 야외무대, 도서관, 장미원",근린공원
시민,"산책, 시장, 금요일, 도심, 운동장, 화장실, 족구, 체육, 육상, 축구장","strolling, market, Friday, citycentre, sports field, washroom, jokgu, physicaleducation, athletics, footballground",4.3,990,"종합운동장, 매점, 전기차충전소, 농구장, 테니스장, 기념탑, 분수, 공연장, 전시관",
쌍학,"여름, 물, 산책","summer, water, strolling",3.9,128,"운동장, 화장실",
우산,"운동, 산책","workout, strolling",3.9,207,,
강나루,,strolling,4,71,,
원당산,"산책, 청소년, 북카페, 문화, 숲","strolling, teenagers, bookcafe, culture, forest",4.2,93,"수완전망대, 수완인라인롤러경기장",
산정,운동,workout,4.3,86,놀이터,
평화,,strolling,4.1,80,,
치평,,"strolling, market, friday, citycentre, sportsfield, washroom, jokgu, physicaleducation, athletics, footballground",4.3,990,,
운천,,"cherryblossoms, workout, citycentre, spring, lotus, dating, fountain, metro, nightscape",4.2,1511,"카페, 헤어샵, 식당",
전평제,,"strolling, cafe, lotus, restaurant, workout, walking, family, citycentre, summer, reservoir",4.2,329,"식당, 카페",
유적,,workout,4,42,,
